yearID,teamID,total_s_y
1997,ANA,31135472
1998,ANA,72416472
1999,ANA,127804638
2000,ANA,179268805
2001,ANA,226803972
2002,ANA,288525639
2003,ANA,367557306
2004,ANA,468091973
1998,ARI,32347000
1999,ARI,101050999
2000,ARI,182078832
2001,ARI,267161831
2002,ARI,369981830
2003,ARI,450638830
2004,ARI,520419580
2005,ARI,582748746
2006,ARI,642432972
2007,ARI,694500518
2008,ARI,760703230
2009,ARI,833818896
2010,ARI,894537062
2011,ARI,948176895
2012,ARI,1021981728
2013,ARI,1112113728
2014,ARI,1209975228
1985,ATL,14807000
1986,ATL,31909786
1987,ATL,48454346
1988,ATL,61182520
1989,ATL,72294854
1990,ATL,86850355
1991,ATL,105253855
1992,ATL,139879188
1993,ATL,181520605
1994,ATL,230904118
1995,ATL,278139563
1996,ATL,327838063
1997,ATL,380116563
1998,ATL,441302563
1999,ATL,514442563
2000,ATL,598980399
2001,ATL,690916565
2002,ATL,783786932
2003,ATL,890030599
2004,ATL,980213099
2005,ATL,1066670401
2006,ATL,1156827277
2007,ATL,1244118110
2008,ATL,1346483793
2009,ATL,1443209959
2010,ATL,1527633625
2011,ATL,1614636317
2012,ATL,1697466259
2013,ATL,1785337784
2014,ATL,1882946784
1985,BAL,11560712
1986,BAL,24561970
1987,BAL,38462243
1988,BAL,51994318
1989,BAL,60269485
1990,BAL,69949569
1991,BAL,87468569
1992,BAL,111249236
1993,BAL,140345736
1994,BAL,179195505
1995,BAL,223138026
1996,BAL,277628341
1997,BAL,336144741
1998,BAL,408500375
1999,BAL,489106238
2000,BAL,570553673
2001,BAL,638153213
2002,BAL,698646700
2003,BAL,772524200
2004,BAL,824147533
2005,BAL,898061866
2006,BAL,970647448
2007,BAL,1063822256
2008,BAL,1131018502
2009,BAL,1198120168
2010,BAL,1279732668
2011,BAL,1365036706
2012,BAL,1442390705
2013,BAL,1526784038
2014,BAL,1630200038
1985,BOS,10897560
1986,BOS,25299799
1987,BOS,35443966
1988,BOS,49340058
1989,BOS,66821806
1990,BOS,87380139
1991,BOS,122547639
1992,BOS,166158223
1993,BOS,203278806
1994,BOS,241137890
1995,BOS,273593408
1996,BOS,315986908
1997,BOS,359545658
1998,BOS,416302658
1999,BOS,479800158
2000,BOS,557740491
2001,BOS,667776324
2002,BOS,776142384
2003,BOS,876088884
2004,BOS,1003387384
2005,BOS,1126892509
2006,BOS,1246992333
2007,BOS,1390018547
2008,BOS,1523408582
2009,BOS,1644754581
2010,BOS,1807201914
2011,BOS,1968964389
2012,BOS,2142151006
2013,BOS,2293681006
2014,BOS,2432700935
1985,CAL,14427894
1986,CAL,28855152
1987,CAL,41698651
1988,CAL,53646039
1989,CAL,68743872
1990,CAL,90463872
1991,CAL,123523873
1992,CAL,158273207
1993,CAL,186861541
1994,CAL,212017759
1995,CAL,243240930
1996,CAL,271978930
1985,CHA,9846178
1986,CHA,20264997
1987,CHA,30906840
1988,CHA,37296840
1989,CHA,44562250
1990,CHA,54053750
1991,CHA,70973417
1992,CHA,101134250
1993,CHA,140830416
1994,CHA,180014252
1995,CHA,226975534
1996,CHA,272115034
1997,CHA,329855034
1998,CHA,368190034
1999,CHA,393810034
2000,CHA,424943534
2001,CHA,490597201
2002,CHA,547650034
2003,CHA,598660034
2004,CHA,663872534
2005,CHA,739050534
2006,CHA,841801201
2007,CHA,950473034
2008,CHA,1071662366
2009,CHA,1167730866
2010,CHA,1273260866
2011,CHA,1401049866
2012,CHA,1497969366
2013,CHA,1618034643
2014,CHA,1699865143
1985,CHN,12702917
1986,CHN,29911082
1987,CHN,44219081
1988,CHN,57338279
1989,CHN,68006279
1990,CHN,81630279
1991,CHN,104805946
1992,CHN,134635632
1993,CHN,174022298
1994,CHN,210309631
1995,CHN,239815465
1996,CHN,272896465
1997,CHN,315051798
1998,CHN,365889798
1999,CHN,428232798
2000,CHN,488772131
2001,CHN,553487964
2002,CHN,629178797
2003,CHN,709047130
2004,CHN,799607130
2005,CHN,886640063
2006,CHN,981064562
2007,CHN,1080734894
2008,CHN,1199080727
2009,CHN,1333889727
2010,CHN,1480498727
2011,CHN,1605546056
2012,CHN,1693743089
2013,CHN,1794310815
2014,CHN,1859833315
1985,CIN,8359917
1986,CIN,20266305
1987,CIN,29547805
1988,CIN,38436214
1989,CIN,49508214
1990,CIN,63878214
1991,CIN,90183547
1992,CIN,126115046
1993,CIN,170994712
1994,CIN,211956545
1995,CIN,255101215
1996,CIN,297627549
1997,CIN,347395549
1998,CIN,370400549
1999,CIN,404363310
2000,CIN,451230510
2001,CIN,500216510
2002,CIN,545266900
2003,CIN,604622567
2004,CIN,651237817
2005,CIN,713130400
2006,CIN,774039919
2007,CIN,842564899
2008,CIN,916682594
2009,CIN,990241094
2010,CIN,1062002636
2011,CIN,1137949770
2012,CIN,1220153386
2013,CIN,1326557848
2014,CIN,1434775348
1985,CLE,6551666
1986,CLE,14361166
1987,CLE,22874916
1988,CLE,31811416
1989,CLE,40905916
1990,CLE,55392916
1991,CLE,73027916
1992,CLE,82400960
1993,CLE,100961960
1994,CLE,131452460
1995,CLE,169390295
1996,CLE,217497655
1997,CLE,274300115
1998,CLE,335100281
1999,CLE,408078743
2000,CLE,483959514
2001,CLE,577111515
2002,CLE,656020964
2003,CLE,704605798
2004,CLE,738925098
2005,CLE,780427598
2006,CLE,836459098
2007,CLE,898132365
2008,CLE,977102431
2009,CLE,1058681597
2010,CLE,1119885563
2011,CLE,1168662129
2012,CLE,1247092429
2013,CLE,1322864229
2014,CLE,1405016128
1993,COL,10353500
1994,COL,34240833
1995,COL,68395550
1996,COL,108575373
1997,COL,152135040
1998,COL,202619688
1999,COL,264555525
2000,COL,325666715
2001,COL,397208049
2002,COL,454059092
2003,COL,521238759
2004,COL,586683926
2005,COL,634522926
2006,COL,675755926
2007,COL,729796926
2008,COL,798452426
2009,COL,873653426
2010,COL,957880426
2011,COL,1046028497
2012,COL,1124098068
2013,COL,1198507139
2014,COL,1293910639
1985,DET,10348143
1986,DET,22683857
1987,DET,34806738
1988,DET,47676309
1989,DET,62822713
1990,DET,80415951
1991,DET,104254284
1992,DET,131577118
1993,DET,169727283
1994,DET,211173784
1995,DET,248217952
1996,DET,271655952
1997,DET,288927952
1998,DET,312992952
1999,DET,349482618
2000,DET,407747785
2001,DET,461163952
2002,DET,516211952
2003,DET,565379952
2004,DET,612211952
2005,DET,681303952
2006,DET,763916818
2007,DET,858717187
2008,DET,996402383
2009,DET,1111487528
2010,DET,1234352456
2011,DET,1340052687
2012,DET,1472352687
2013,DET,1618342187
2014,DET,1771197687
1993,FLO,19330545
1994,FLO,40963545
1995,FLO,65479326
1996,FLO,96501826
1997,FLO,145194326
1998,FLO,186516993
1999,FLO,207601993
2000,FLO,227473993
2001,FLO,263236493
2002,FLO,305216410
2003,FLO,354666410
2004,FLO,396809452
2005,FLO,457218286
2006,FLO,471889786
2007,FLO,502396786
2008,FLO,524208286
2009,FLO,561042286
2010,FLO,618072005
2011,FLO,675016005
1985,HOU,9993051
1986,HOU,19866327
1987,HOU,32474698
1988,HOU,44760865
1989,HOU,59790365
1990,HOU,78120365
1991,HOU,90972865
1992,HOU,106380365
1993,HOU,136590865
1994,HOU,169716865
1995,HOU,203886699
1996,HOU,232373699
1997,HOU,267151199
1998,HOU,309525199
1999,HOU,364439199
2000,HOU,415728310
2001,HOU,476340977
2002,HOU,539789394
2003,HOU,610829394
2004,HOU,686226394
2005,HOU,763005394
2006,HOU,851699829
2007,HOU,939458829
2008,HOU,1028389243
2009,HOU,1131385657
2010,HOU,1223741157
2011,HOU,1294435157
2012,HOU,1355086157
2013,HOU,1372976857
2014,HOU,1408093157
1985,KCA,9321179
1986,KCA,22364877
1987,KCA,34192933
1988,KCA,48749495
1989,KCA,67433063
1990,KCA,90794147
1991,KCA,117113981
1992,KCA,151007815
1993,KCA,192353982
1994,KCA,232895316
1995,KCA,262428150
1996,KCA,282709400
1997,KCA,317364400
1998,KCA,354226900
1999,KCA,380451900
2000,KCA,403884900
2001,KCA,439307400
2002,KCA,486564400
2003,KCA,527082400
2004,KCA,574691400
2005,KCA,611572400
2006,KCA,658866400
2007,KCA,725982900
2008,KCA,784228400
2009,KCA,854747733
2010,KCA,926152943
2011,KCA,961864943
2012,KCA,1022781168
2013,KCA,1102872893
2014,KCA,1177466968
2005,LAA,94867822
2006,LAA,198339822
2007,LAA,307591155
2008,LAA,426807488
2009,LAA,540516488
2010,LAA,645480354
2011,LAA,784023520
2012,LAA,938508686
2013,LAA,1062683436
2014,LAA,1184671686
1985,LAN,10967917
1986,LAN,25881693
1987,LAN,39557096
1988,LAN,56407611
1989,LAN,77479173
1990,LAN,98797877
1991,LAN,131588541
1992,LAN,176376707
1993,LAN,215708706
1994,LAN,253708707
1995,LAN,292981908
1996,LAN,328336908
1997,LAN,373717212
1998,LAN,422537212
1999,LAN,503399665
2000,LAN,591323951
2001,LAN,700429904
2002,LAN,795280857
2003,LAN,900853477
2004,LAN,993755478
2005,LAN,1076794478
2006,LAN,1175241665
2007,LAN,1283696189
2008,LAN,1402284725
2009,LAN,1502699317
2010,LAN,1598057333
2011,LAN,1702246332
2012,LAN,1797389907
2013,LAN,2020752103
2014,LAN,2237766703
2012,MIA,118078000
2013,MIA,151679900
2014,MIA,193516800
1998,MIL,33914904
1999,MIL,77292299
2000,MIL,113797632
2001,MIL,157684465
2002,MIL,207972298
2003,MIL,248599298
2004,MIL,276127798
2005,MIL,316062631
2006,MIL,373630964
2007,MIL,444617464
2008,MIL,525554963
2009,MIL,605737465
2010,MIL,686845743
2011,MIL,772343076
2012,MIL,869997020
2013,MIL,946944053
2014,MIL,1048161053
1985,MIN,5764821
1986,MIN,14512988
1987,MIN,20910488
1988,MIN,33373154
1989,MIN,48904820
1990,MIN,63506820
1991,MIN,86868653
1992,MIN,114896487
1993,MIN,143114420
1994,MIN,171552920
1995,MIN,196963420
1996,MIN,220080420
1997,MIN,254152920
1998,MIN,282080420
1999,MIN,303337920
2000,MIN,319857420
2001,MIN,343987420
2002,MIN,384412420
2003,MIN,439917420
2004,MIN,493502420
2005,MIN,549688420
2006,MIN,613084426
2007,MIN,684523926
2008,MIN,741456692
2009,MIN,806755958
2010,MIN,904315124
2011,MIN,1017052124
2012,MIN,1111137124
2013,MIN,1186474624
2014,MIN,1270237124
1985,ML4,11284107
1986,ML4,21227749
1987,ML4,28520973
1988,ML4,36922973
1989,ML4,48455973
1990,ML4,68175140
1991,ML4,91290640
1992,ML4,122304307
1993,ML4,146111141
1994,ML4,170461641
1995,ML4,188260466
1996,ML4,209990466
1997,ML4,233645804
1985,MON,9470166
1986,MON,20573766
1987,MON,27515818
1988,MON,37119151
1989,MON,50926540
1990,MON,67512928
1991,MON,78245261
1992,MON,94067595
1993,MON,112966928
1994,MON,132064928
1995,MON,144428928
1996,MON,160693428
1997,MON,179988928
1998,MON,190630428
1999,MON,208533428
2000,MON,241527761
2001,MON,276687261
2002,MON,315357761
2003,MON,367306261
2004,MON,408203761
1985,NYA,14238204
1986,NYA,32732457
1987,NYA,49832171
1988,NYA,69273323
1989,NYA,86387698
1990,NYA,107300016
1991,NYA,134644184
1992,NYA,172187518
1993,NYA,214812418
1994,NYA,260543752
1995,NYA,309418603
1996,NYA,363610395
1997,NYA,425851940
1998,NYA,492658807
1999,NYA,579393166
2000,NYA,671731426
2001,NYA,784018569
2002,NYA,909947152
2003,NYA,1062696966
2004,NYA,1246890916
2005,NYA,1455197733
2006,NYA,1649860812
2007,NYA,1839119857
2008,NYA,2047016646
2009,NYA,2248465835
2010,NYA,2454799224
2011,NYA,2657074252
2012,NYA,2853596541
2013,NYA,3085575427
2014,NYA,3283119334
2014,NYM,54806990
1985,NYN,10834762
1986,NYN,26228476
1987,NYN,40075190
1988,NYN,55344504
1989,NYN,75229575
1990,NYN,96952409
1991,NYN,129542410
1992,NYN,174144412
1993,NYN,213188079
1994,NYN,244144662
1995,NYN,271819654
1996,NYN,296299154
1997,NYN,336099554
1998,NYN,388177553
1999,NYN,453269645
2000,NYN,532779421
2001,NYN,625953849
2002,NYN,720587442
2003,NYN,837463871
2004,NYN,934124841
2005,NYN,1035430662
2006,NYN,1136515625
2007,NYN,1251747288
2008,NYN,1389540664
2009,NYN,1538914651
2010,NYN,1673337593
2011,NYN,1792184902
2012,NYN,1885538885
2013,NYN,1934987231
2014,NYN,1965737231
1985,OAK,9058606
1986,OAK,18838027
1987,OAK,30518866
1988,OAK,40208866
1989,OAK,55821936
1990,OAK,75709437
1991,OAK,112708604
1992,OAK,153743604
1993,OAK,191555937
1994,OAK,225728437
1995,OAK,263467662
1996,OAK,284710662
1997,OAK,308729162
1998,OAK,330032162
1999,OAK,354463995
2000,OAK,386435328
2001,OAK,420246078
2002,OAK,460250245
2003,OAK,510511079
2004,OAK,569936746
2005,OAK,625362508
2006,OAK,687605587
2007,OAK,766972527
2008,OAK,814939653
2009,OAK,876849653
2010,OAK,932104553
2011,OAK,998641053
2012,OAK,1054013553
2013,OAK,1114146053
2014,OAK,1186554453
1985,PHI,10124966
1986,PHI,21715132
1987,PHI,33229365
1988,PHI,47067365
1989,PHI,57671365
1990,PHI,70845032
1991,PHI,93332364
1992,PHI,117716198
1993,PHI,146254532
1994,PHI,177853532
1995,PHI,208409477
1996,PHI,242723977
1997,PHI,279380477
1998,PHI,315677977
1999,PHI,347370477
2000,PHI,394678477
2001,PHI,436342310
2002,PHI,494297309
2003,PHI,565077309
2004,PHI,657996476
2005,PHI,753518476
2006,PHI,841791809
2007,PHI,931220022
2008,PHI,1029099902
2009,PHI,1142103948
2010,PHI,1284032327
2011,PHI,1457008706
2012,PHI,1631547644
2013,PHI,1801410833
2014,PHI,1982355800
1985,PIT,9227500
1986,PIT,20071000
1987,PIT,27723000
1988,PIT,33721500
1989,PIT,46459000
1990,PIT,62015000
1991,PIT,85649667
1992,PIT,119593834
1993,PIT,144416301
1994,PIT,168633551
1995,PIT,186988896
1996,PIT,210006396
1997,PIT,220778063
1998,PIT,235843063
1999,PIT,260540729
2000,PIT,289469063
2001,PIT,347229896
2002,PIT,389553495
2003,PIT,444365924
2004,PIT,476593853
2005,PIT,514726853
2006,PIT,561444603
2007,PIT,599982436
2008,PIT,648672219
2009,PIT,697365219
2010,PIT,732308219
2011,PIT,777355219
2012,PIT,840307218
2013,PIT,917369218
2014,PIT,994547218
1985,SDN,11036583
1986,SDN,22417276
1987,SDN,33483072
1988,SDN,43044074
1989,SDN,57239074
1990,SDN,74827408
1991,SDN,96977409
1992,SDN,123831576
1993,SDN,149342909
1994,SDN,164259242
1995,SDN,190641576
1996,SDN,218989748
1997,SDN,256353420
1998,SDN,303214920
1999,SDN,352983099
2000,SDN,407804099
2001,SDN,446986932
2002,SDN,488411932
2003,SDN,533621932
2004,SDN,589006765
2005,SDN,652297598
2006,SDN,722193739
2007,SDN,780304306
2008,SDN,853981922
2009,SDN,897315622
2010,SDN,935114922
2011,SDN,980984062
2012,SDN,1036228762
2013,SDN,1101814262
2014,SDN,1177499962
1985,SEA,4613000
1986,SEA,10571309
1987,SEA,12834809
1988,SEA,20177259
1989,SEA,29956759
1990,SEA,42510426
1991,SEA,58202259
1992,SEA,81382092
1993,SEA,114078425
1994,SEA,143306925
1995,SEA,179788236
1996,SEA,221116737
1997,SEA,262657398
1998,SEA,316744434
1999,SEA,370869437
2000,SEA,429784437
2001,SEA,504505271
2002,SEA,584787939
2003,SEA,671747106
2004,SEA,753262940
2005,SEA,841017274
2006,SEA,928977107
2007,SEA,1035437940
2008,SEA,1153104422
2009,SEA,1252008588
2010,SEA,1338518588
2011,SEA,1424629188
2012,SEA,1506607288
2013,SEA,1580612331
2014,SEA,1673143431
2014,SFG,143510167
1985,SFN,8221714
1986,SFN,17168714
1987,SFN,24458714
1988,SFN,36838714
1989,SFN,51801548
1990,SFN,71136881
1991,SFN,102104547
1992,SFN,135267715
1993,SFN,170317715
1994,SFN,212956381
1995,SFN,249419158
1996,SFN,286563883
1997,SFN,322156261
1998,SFN,364722095
1999,SFN,411317152
2000,SFN,465054978
2001,SFN,528335145
2002,SFN,606634980
2003,SFN,689487147
2004,SFN,771506313
2005,SFN,861705813
2006,SFN,951762232
2007,SFN,1041981288
2008,SFN,1118575788
2009,SFN,1201602238
2010,SFN,1300243571
2011,SFN,1418441904
2012,SFN,1536062587
2013,SFN,1676242921
2014,SFN,1696242921
1985,SLN,11817083
1986,SLN,21692093
1987,SLN,33450093
1988,SLN,46330093
1989,SLN,62408926
1990,SLN,82932260
1991,SLN,104792261
1992,SLN,132376097
1993,SLN,155743431
1994,SLN,185019032
1995,SLN,222120032
1996,SLN,262389699
1997,SLN,307846366
1998,SLN,362518887
1999,SLN,412297082
2000,SLN,473750945
2001,SLN,552289278
2002,SLN,626950153
2003,SLN,710736819
2004,SLN,793965152
2005,SLN,886071985
2006,SLN,974963356
2007,SLN,1065250179
2008,SLN,1164874628
2009,SLN,1253403037
2010,SLN,1346943788
2011,SLN,1452377360
2012,SLN,1562678222
2013,SLN,1654938332
2014,SLN,1775631332
1998,TBA,27280000
1999,TBA,66150000
2000,TBA,128915129
2001,TBA,185895129
2002,TBA,220275129
2003,TBA,239905129
2004,TBA,269461796
2005,TBA,299140863
2006,TBA,334058830
2007,TBA,358182330
2008,TBA,402002927
2009,TBA,465315961
2010,TBA,537239432
2011,TBA,578293003
2012,TBA,642466503
2013,TBA,695421775
2014,TBA,768110875
1985,TEX,7676500
1986,TEX,14419619
1987,TEX,15299619
1988,TEX,20641750
1989,TEX,32535531
1990,TEX,47409903
1991,TEX,65634403
1992,TEX,95762570
1993,TEX,132139529
1994,TEX,165113126
1995,TEX,199694577
1996,TEX,238736105
1997,TEX,292184943
1998,TEX,348757038
1999,TEX,425466969
2000,TEX,496262890
2001,TEX,584896390
2002,TEX,690422512
2003,TEX,793914179
2004,TEX,848964596
2005,TEX,904813596
2006,TEX,973042258
2007,TEX,1041360933
2008,TEX,1109073259
2009,TEX,1177252057
2010,TEX,1232502601
2011,TEX,1324801865
2012,TEX,1445312839
2013,TEX,1557835439
2014,TEX,1670090498
1985,TOR,8812550
1986,TOR,21423597
1987,TOR,31903098
1988,TOR,44144323
1989,TOR,60405989
1990,TOR,78162823
1991,TOR,98065240
1992,TOR,142853906
1993,TOR,190133072
1994,TOR,233566740
1995,TOR,284156740
1996,TOR,313711823
1997,TOR,360791656
1998,TOR,412167656
1999,TOR,457611989
2000,TOR,502450321
2001,TOR,579346320
2002,TOR,656210653
2003,TOR,707479653
2004,TOR,757496653
2005,TOR,803216153
2006,TOR,874581153
2007,TOR,956523953
2008,TOR,1054317853
2009,TOR,1134856153
2010,TOR,1197090153
2011,TOR,1259657953
2012,TOR,1334667153
2013,TOR,1460955253
2014,TOR,1570875353
2005,WAS,48581500
2006,WAS,111724500
2007,WAS,148672000
2008,WAS,203633000
2009,WAS,263561000
2010,WAS,324961000
2011,WAS,388817928
2012,WAS,469673071
2013,WAS,583376341
2014,WAS,715360021
